RepeatId,GenerationId,Generations,Time,SubcloneSelect,SubcloneAlive,SubcloneTotal,CellSelectCount,CellAliveCount,CellNecroCount,CellTumorCount,CellLostCount,CellTotalCount,MeanDriversPerCell,ClonalDiversity,TreeBalance,TreeDepth,NodeCount,LeafCount,Branching
0,0,2783,00:00:00.0430000,1,2,3,1005,1006,0,1006,2766,3772,1,1,0,0,1,1,0
0,1,2999,00:00:00.0530000,2,4,5,2011,2014,0,2014,5521,7535,1.005469915464943,1.0109996729244481,0,1,2,1,1
0,2,3205,00:00:00.0730000,2,3,5,4016,4019,0,4019,10495,14514,1.016683266932271,1.0339229047090779,0,1,2,1,1
0,3,3426,00:00:00.0770000,3,4,7,8021,8026,1,8027,21318,29345,1.0395212567011594,1.082533138166932,0.019679104909300804,1,3,2,1
0,4,3633,00:00:00.0890000,3,6,11,15663,15680,327,16007,40953,56960,1.0607163378663091,1.129368242340901,0.0222671739757061,1,3,2,1
0,5,3855,00:00:00.0940000,4,16,24,29895,29932,2116,32048,80661,112709,1.1025589563472153,1.2274462307774143,0.0245490875095129,1,4,3,1
0,6,4087,00:00:00.1020000,4,31,51,55658,55803,8375,64178,154991,219169,1.1810162061159222,1.42751916166184,0.0360107459127903,1,4,3,1
0,7,4332,00:00:00.1130000,4,44,84,101337,101698,26541,128239,292028,420267,1.2862922723190937,1.7080653965279347,0.046537648886442184,1,4,3,1
0,8,4594,00:00:00.1310000,5,79,161,181635,182598,73702,256300,540878,797178,1.4397060037988274,2.017221867542534,0.05112618952989578,1,5,4,1
0,9,4872,00:00:00.1660000,7,159,315,324431,326358,186756,513114,976848,1489962,1.6151169277905009,1.9802974237592263,0.05801280215382576,2,7,5,1.2
0,10,5173,00:00:00.2370000,7,258,562,571678,576777,448553,1025330,1745033,2770363,1.770883259457247,1.622027452321554,0.059919118881225586,2,7,5,1.2
0,11,5512,00:00:00.3670000,8,457,1031,992878,1004035,1045841,2049876,3147981,5197857,1.8864220981832611,1.3292719342244779,0.05623325705528259,2,8,6,1.1666666
0,12,5907,00:00:00.6730000,10,856,1984,1694076,1719859,2378956,4098815,5793770,9892585,1.963728309709836,1.1764286429438937,0.04888519272208214,2,10,8,1.125
0,13,6378,00:00:01.3150000,14,1556,3850,2850763,2909589,5290599,8200188,10876353,19076541,2.0210712009381346,1.1494270597086875,0.04502366855740547,2,14,12,1.0833334
0,14,6944,00:00:02.6970000,19,2830,7573,4718570,4877186,11507738,16384924,20680535,37065459,2.0934437763983578,1.2641775846773737,0.04241590201854706,2,19,17,1.0588236
