RepeatId,GenerationId,popCount,aliveCount,totalCount,generations,treeDepth,nodeCount,leafCount,branching,subcloneTotal,subcloneSelect,clonalDiversity,treeBalance,meanDriversPerCell
0,0,1,142,648,1000,0,1,1,0,1,1,1,0,1
1,0,1,85,489,1000,0,1,1,0,1,1,1,0,1
2,0,1,84,534,1000,0,1,1,0,1,1,1,0,1
3,0,1,95,488,1000,0,1,1,0,1,1,1,0,1
4,0,1,43,429,1000,0,1,1,0,1,1,1,0,1
5,0,1,56,384,1000,0,1,1,0,1,1,1,0,1
6,0,1,58,470,1000,0,1,1,0,1,1,1,0,1
7,0,1,153,755,1000,0,1,1,0,1,1,1,0,1
8,0,1,118,610,1000,0,1,1,0,1,1,1,0,1
9,0,1,119,628,1000,0,1,1,0,1,1,1,0,1
10,0,1,97,523,1000,0,1,1,0,1,1,1,0,1
11,0,1,46,431,1000,0,1,1,0,1,1,1,0,1
12,0,1,126,727,1000,0,1,1,0,1,1,1,0,1
13,0,1,83,589,1000,0,1,1,0,1,1,1,0,1
14,0,1,90,520,1000,0,1,1,0,1,1,1,0,1
15,0,1,134,678,1000,0,1,1,0,1,1,1,0,1
16,0,1,147,738,1000,0,1,1,0,1,1,1,0,1
17,0,1,136,789,1000,0,1,1,0,1,1,1,0,1
18,0,1,138,610,1000,0,1,1,0,1,1,1,0,1
19,0,1,70,528,1000,0,1,1,0,1,1,1,0,1
20,0,1,123,640,1000,0,1,1,0,1,1,1,0,1
21,0,1,98,568,1000,0,1,1,0,1,1,1,0,1
22,0,1,179,793,1000,0,1,1,0,1,1,1,0,1
23,0,1,113,647,1000,0,1,1,0,1,1,1,0,1
24,0,1,139,696,1000,0,1,1,0,1,1,1,0,1
25,0,1,45,460,1000,0,1,1,0,1,1,1,0,1
26,0,1,71,518,1000,0,1,1,0,1,1,1,0,1
27,0,1,65,470,1000,0,1,1,0,1,1,1,0,1
28,0,1,55,452,1000,0,1,1,0,1,1,1,0,1
29,0,1,63,492,1000,0,1,1,0,1,1,1,0,1
30,0,1,156,693,1000,0,1,1,0,1,1,1,0,1
31,0,1,80,615,1000,0,1,1,0,1,1,1,0,1
32,0,1,124,676,1000,0,1,1,0,1,1,1,0,1
33,0,1,30,349,1000,0,1,1,0,1,1,1,0,1
34,0,1,159,792,1000,0,1,1,0,1,1,1,0,1
35,0,1,98,595,1000,0,1,1,0,1,1,1,0,1
36,0,1,73,568,1000,0,1,1,0,1,1,1,0,1
37,0,1,153,763,1000,0,1,1,0,1,1,1,0,1
38,0,1,141,656,1000,0,1,1,0,1,1,1,0,1
39,0,1,77,506,1000,0,1,1,0,1,1,1,0,1
40,0,1,100,574,1000,0,1,1,0,1,1,1,0,1
41,0,1,88,608,1000,0,1,1,0,1,1,1,0,1
42,0,1,84,593,1000,0,1,1,0,1,1,1,0,1
43,0,1,48,449,1000,0,1,1,0,1,1,1,0,1
44,0,1,76,519,1000,0,1,1,0,1,1,1,0,1
45,0,1,96,563,1000,0,1,1,0,1,1,1,0,1
46,0,1,114,661,1000,0,1,1,0,1,1,1,0,1
47,0,1,96,585,1000,0,1,1,0,1,1,1,0,1
48,0,1,124,553,1000,0,1,1,0,1,1,1,0,1
49,0,1,157,813,1000,0,1,1,0,1,1,1,0,1
50,0,1,111,645,1000,0,1,1,0,1,1,1,0,1
51,0,1,85,491,1000,0,1,1,0,1,1,1,0,1
52,0,1,63,520,1000,0,1,1,0,1,1,1,0,1
53,0,1,107,578,1000,0,1,1,0,1,1,1,0,1
54,0,1,80,461,1000,0,1,1,0,1,1,1,0,1
55,0,1,97,549,1000,0,1,1,0,1,1,1,0,1
56,0,1,86,512,1000,0,1,1,0,1,1,1,0,1
57,0,1,99,573,1000,0,1,1,0,1,1,1,0,1
