RepeatId,GenerationId,Generations,Time,SubcloneSelect,SubcloneAlive,SubcloneTotal,CellSelectCount,CellAliveCount,CellNecroCount,CellTumorCount,CellLostCount,CellTotalCount,MeanDriversPerCell,ClonalDiversity,TreeBalance,TreeDepth,NodeCount,LeafCount,Branching
0,0,5163,00:00:00.0590000,2,2,3,1003,1003,0,1003,6805,7808,1.8384845463609172,1.3714720633559858,0,1,2,1,1
0,1,5555,00:00:00.0710000,3,4,6,2014,2015,0,2015,12373,14388,1.8664349553128103,1.3092467841595743,0,2,3,1,2
0,2,5886,00:00:00.0910000,3,5,9,4004,4008,0,4008,21799,25807,1.9165834165834166,1.1866297357679922,0,2,3,1,2
0,3,6213,00:00:00.0960000,3,6,13,8016,8024,0,8024,40470,48494,1.9474800399201597,1.1173509957015604,0,2,3,1,2
0,4,6552,00:00:00.1020000,4,14,28,15988,16022,0,16022,79809,95831,1.9652239179384539,1.1030383766571006,0,2,4,2,1.5
0,5,6888,00:00:00.1190000,4,19,46,31954,32030,0,32030,157041,189071,1.9910496338486574,1.094287799192581,0.007954800501465797,2,4,2,1.5
0,6,7209,00:00:00.1300000,4,34,81,63901,64099,0,64099,305935,370034,2.0099372466784557,1.1051021333588456,0.015702083706855774,2,4,2,1.5
0,7,7540,00:00:00.1520000,5,60,149,127345,128054,0,128054,611549,739603,2.026180847304566,1.1261995021970772,0.020725850015878677,2,5,3,1.3333334
0,8,7863,00:00:00.1850000,5,143,323,254234,256464,0,256464,1209467,1465931,2.05339962396847,1.1617865206833264,0.03268246352672577,2,5,3,1.3333334
0,9,8179,00:00:00.2540000,7,289,644,507347,512842,0,512842,2374931,2887773,2.086737479476571,1.2255551685312753,0.038448069244623184,2,7,5,1.2
0,10,8488,00:00:00.4000000,11,524,1219,1008813,1020977,3510,1024487,4649754,5674241,2.1302738961532017,1.3298723714196952,0.0526764839887619,2,11,9,1.1111112
0,11,8798,00:00:00.6440000,14,1002,2337,1964089,1992330,59679,2052009,9109817,11161826,2.1850430403102914,1.4804845068277404,0.07257721573114395,2,14,12,1.0833334
0,12,9115,00:00:01.1160000,16,1816,4482,3681215,3754505,341499,4096004,17678391,21774395,2.2532337828678846,1.6885950000492755,0.0958787351846695,3,16,13,1.1538461
0,13,9452,00:00:02.0260000,18,3346,8652,6710917,6894574,1311866,8206440,34194994,42401434,2.340808566102069,1.981762950832507,0.12365929782390594,3,18,15,1.1333333
